"filename", "language", "JSON with Comments", "TypeScript", "JSON", "XML", "JavaScript", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"f:\毕设-快递系统\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\毕设-快递系统\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"f:\毕设-快递系统\components.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"f:\毕设-快递系统\next.config.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 5
"f:\毕设-快递系统\package-lock.json", "JSON", 0, 0, 8281, 0, 0, 0, 0, 0, 0, 1, 8282
"f:\毕设-快递系统\package.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"f:\毕设-快递系统\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"f:\毕设-快递系统\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\毕设-快递系统\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\毕设-快递系统\src\app\dashboard\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 5, 8, 53
"f:\毕设-快递系统\src\app\dashboard\blog\page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 22
"f:\毕设-快递系统\src\app\dashboard\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"f:\毕设-快递系统\src\app\dashboard\control\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 45
"f:\毕设-快递系统\src\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"f:\毕设-快递系统\src\app\dashboard\links\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"f:\毕设-快递系统\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"f:\毕设-快递系统\src\app\fonts.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"f:\毕设-快递系统\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 56, 0, 21, 77
"f:\毕设-快递系统\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 1, 6, 39
"f:\毕设-快递系统\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"f:\毕设-快递系统\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"f:\毕设-快递系统\src\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"f:\毕设-快递系统\src\components\client\ArticleDelete.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 1, 1, 49
"f:\毕设-快递系统\src\components\client\ArticleUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 1, 10, 113
"f:\毕设-快递系统\src\components\client\ControlButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 4, 71
"f:\毕设-快递系统\src\components\client\FriendLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 3, 57
