"filename", "language", "JSON", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"f:\毕设-快递系统\package-lock.json", "JSON", 239, 0, 0, 0, 0, 239
"f:\毕设-快递系统\package.json", "JSON", 4, 0, 0, 0, 0, 4
"f:\毕设-快递系统\src\app\api\index.ts", "TypeScript", 0, 0, 37, 0, 9, 46
"f:\毕设-快递系统\src\app\api\token.ts", "TypeScript", 0, 0, 62, 0, 11, 73
"f:\毕设-快递系统\src\app\api\types.ts", "TypeScript", 0, 0, 13, 0, 3, 16
"f:\毕设-快递系统\src\app\dashboard\layout.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1
"f:\毕设-快递系统\src\app\dashboard\order\page.tsx", "TypeScript JSX", 0, -21, 0, 0, -3, -24
"f:\毕设-快递系统\src\app\layout.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 7
"f:\毕设-快递系统\src\app\provider\ReactQueryProvider.tsx", "TypeScript JSX", 0, 9, 0, 0, 5, 14
"f:\毕设-快递系统\src\components\client\AfterSale.tsx", "TypeScript JSX", 0, 30, 0, 0, 4, 34
"f:\毕设-快递系统\src\components\client\AllOrders.tsx", "TypeScript JSX", 0, 30, 0, 0, 4, 34
"f:\毕设-快递系统\src\components\client\LoginForm.tsx", "TypeScript JSX", 0, 20, 0, 1, 0, 21
"f:\毕设-快递系统\src\components\client\OperationPanel.tsx", "TypeScript JSX", 0, 10, 0, 0, -1, 9
"f:\毕设-快递系统\src\components\client\RegisterForm.tsx", "TypeScript JSX", 0, 189, 0, 34, 7, 230
"f:\毕设-快递系统\src\components\client\RenderComponent.tsx", "TypeScript JSX", 0, 1, 0, 0, 1, 2
"f:\毕设-快递系统\src\components\client\SeekBackForm.tsx", "TypeScript JSX", 0, 137, 0, 2, 1, 140
"f:\毕设-快递系统\src\components\client\SendOrders.tsx", "TypeScript JSX", 0, 85, 0, 1, 2, 88
"f:\毕设-快递系统\src\components\client\menu.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1
"f:\毕设-快递系统\src\config\index.ts", "TypeScript", 0, 0, 4, 0, 1, 5
"f:\毕设-快递系统\src\constants\notifications.ts", "TypeScript", 0, 0, 17, 0, 5, 22
"f:\毕设-快递系统\src\utils\jd.ts", "TypeScript", 0, 0, 18, 0, 2, 20
"Total", "-", 243, 495, 151, 38, 51, 978
