"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"f:\毕设-快递系统\src\app\api\index.ts", "TypeScript", 20, 0, -20, 0, 0
"f:\毕设-快递系统\src\app\dashboard\me\page.tsx", "TypeScript JSX", 0, -1, 0, 0, -1
"f:\毕设-快递系统\src\components\client\AddCompany.tsx", "TypeScript JSX", 0, 141, 0, 2, 143
"f:\毕设-快递系统\src\components\client\AddStation.tsx", "TypeScript JSX", 0, 141, 0, 3, 144
"f:\毕设-快递系统\src\components\client\ArticleUpload.tsx", "TypeScript JSX", 0, -102, -1, -10, -113
"f:\毕设-快递系统\src\components\client\EditUserInfoButton.tsx", "TypeScript JSX", 0, 80, 0, 2, 82
"f:\毕设-快递系统\src\components\client\ProfileCard.tsx", "TypeScript JSX", 0, 51, 2, 3, 56
"f:\毕设-快递系统\src\components\client\RenderComponent.tsx", "TypeScript JSX", 0, 6, 0, 0, 6
"f:\毕设-快递系统\src\components\client\SendOrders.tsx", "TypeScript JSX", 0, 147, 5, 6, 158
"f:\毕设-快递系统\src\config\index.ts", "TypeScript", 5, 0, 0, 0, 5
"Total", "-", 25, 463, -14, 6, 480
