"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"f:\毕设-快递系统\src\app\dashboard\control\page.tsx", "TypeScript JSX", 8, 0, 0, 8
"f:\毕设-快递系统\src\app\dashboard\links\page.tsx", "TypeScript JSX", 2, 0, 0, 2
"f:\毕设-快递系统\src\components\client\AddCompany.tsx", "TypeScript JSX", -4, 0, 0, -4
"f:\毕设-快递系统\src\components\client\AddStation.tsx", "TypeScript JSX", -4, 0, 0, -4
"f:\毕设-快递系统\src\components\client\EditUserInfoButton.tsx", "TypeScript JSX", -4, 0, 0, -4
"f:\毕设-快递系统\src\components\client\IndexCard.tsx", "TypeScript JSX", -1, 0, 0, -1
"f:\毕设-快递系统\src\components\client\LoginForm.tsx", "TypeScript JSX", -2, 0, 0, -2
"f:\毕设-快递系统\src\components\client\ProfileCard.tsx", "TypeScript JSX", -2, 0, 0, -2
"f:\毕设-快递系统\src\components\client\RegisterForm.tsx", "TypeScript JSX", -4, 0, 0, -4
"f:\毕设-快递系统\src\components\client\RenderComponent.tsx", "TypeScript JSX", 3, 0, 0, 3
"f:\毕设-快递系统\src\components\client\SeekBackForm.tsx", "TypeScript JSX", -3, 0, 0, -3
"f:\毕设-快递系统\src\components\client\SendOrders.tsx", "TypeScript JSX", -16, 7, 2, -7
"f:\毕设-快递系统\src\components\client\UserRole.tsx", "TypeScript JSX", 75, 0, 6, 81
"Total", "-", 48, 7, 8, 63
